"";"Date";"Day";"High.Temp...F.";"Low.Temp...F.";"Precipitation";"Brooklyn.Bridge";"Manhattan.Bridge";"Williamsburg.Bridge";"Queensboro.Bridge";"Total"
"0";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"1";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"2";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"3";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"4";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"5";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"6";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"7";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"8";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"9";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"10";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"11";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"12";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"13";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"14";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"15";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"16";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"17";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"18";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"19";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"20";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"21";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"22";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"23";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"24";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"25";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"26";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"27";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"28";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"29";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
"30";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"31";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"32";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"33";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"34";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"35";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"36";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"37";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"38";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"39";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"40";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"41";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"42";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"43";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"44";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"45";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"46";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"47";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"48";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"49";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"50";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"51";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"52";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"53";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"54";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"55";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"56";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"57";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"58";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"59";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
"60";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"61";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"62";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"63";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"64";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"65";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"66";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"67";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"68";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"69";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"70";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"71";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"72";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"73";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"74";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"75";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"76";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"77";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"78";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"79";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"80";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"81";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"82";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"83";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"84";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"85";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"86";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"87";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"88";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"89";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
"90";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"91";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"92";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"93";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"94";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"95";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"96";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"97";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"98";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"99";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"100";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"101";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"102";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"103";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"104";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"105";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"106";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"107";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"108";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"109";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"110";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"111";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"112";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"113";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"114";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"115";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"116";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"117";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"118";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"119";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
"120";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"121";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"122";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"123";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"124";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"125";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"126";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"127";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"128";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"129";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"130";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"131";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"132";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"133";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"134";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"135";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"136";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"137";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"138";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"139";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"140";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"141";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"142";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"143";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"144";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"145";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"146";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"147";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"148";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"149";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
"150";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"151";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"152";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"153";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"154";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"155";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"156";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"157";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"158";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"159";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"160";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"161";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"162";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"163";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"164";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"165";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"166";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"167";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"168";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"169";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"170";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"171";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"172";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"173";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"174";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"175";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"176";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"177";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"178";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"179";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
"180";"2016-04-01 00:00:00";"2016-04-01 00:00:00";78,1;66;"0.01";1704;3126;4115;2552;11497
"181";"2016-04-02 00:00:00";"2016-04-02 00:00:00";55;48,9;"0.15";827;1646;2565;1884;6922
"182";"2016-04-03 00:00:00";"2016-04-03 00:00:00";39,9;34;"0.09";526;1232;1695;1306;4759
"183";"2016-04-04 00:00:00";"2016-04-04 00:00:00";44,1;33,1;"0.47 (S)";521;1067;1440;1307;4335
"184";"2016-04-05 00:00:00";"2016-04-05 00:00:00";42,1;26,1;"0";1416;2617;3081;2357;9471
"185";"2016-04-06 00:00:00";"2016-04-06 00:00:00";45;30;"0";1885;3329;3856;2849;11919
"186";"2016-04-07 00:00:00";"2016-04-07 00:00:00";57;53,1;"0.09";1276;2581;3282;2457;9596
"187";"2016-04-08 00:00:00";"2016-04-08 00:00:00";46,9;44,1;"0.01";1982;3455;4113;3194;12744
"188";"2016-04-09 00:00:00";"2016-04-09 00:00:00";43;37,9;"0.09";504;997;1507;1502;4510
"189";"2016-04-10 00:00:00";"2016-04-10 00:00:00";48,9;30,9;"0";1447;2387;3132;2160;9126
"190";"2016-04-11 00:00:00";"2016-04-11 00:00:00";62,1;46;"0.01";2005;3791;4334;3182;13312
"191";"2016-04-12 00:00:00";"2016-04-12 00:00:00";57;45;"0.2";1045;2178;2762;2082;8067
"192";"2016-04-13 00:00:00";"2016-04-13 00:00:00";57;39,9;"0";2840;5395;5995;4192;18422
"193";"2016-04-14 00:00:00";"2016-04-14 00:00:00";62,1;44,6;"0";2861;5309;6030;4115;18315
"194";"2016-04-15 00:00:00";"2016-04-15 00:00:00";64;44,1;"0";2770;5072;5816;3912;17570
"195";"2016-04-16 00:00:00";"2016-04-16 00:00:00";66;45;"0";2384;4316;5624;4051;16375
"196";"2016-04-17 00:00:00";"2016-04-17 00:00:00";73,9;46;"0";3147;4969;5867;4197;18180
"197";"2016-04-18 00:00:00";"2016-04-18 00:00:00";81;52;"0";3871;6823;7432;4964;23090
"198";"2016-04-19 00:00:00";"2016-04-19 00:00:00";71,1;63;"0";3501;6951;7834;5032;23318
"199";"2016-04-20 00:00:00";"2016-04-20 00:00:00";68;50;"0";3450;6574;7639;4928;22591
"200";"2016-04-21 00:00:00";"2016-04-21 00:00:00";71,1;50;"0";3436;6452;7426;4813;22127
"201";"2016-04-22 00:00:00";"2016-04-22 00:00:00";78,1;63;"T";2975;4907;6093;3862;17837
"202";"2016-04-23 00:00:00";"2016-04-23 00:00:00";70;61;"0.16";2055;3276;4856;3239;13426
"203";"2016-04-24 00:00:00";"2016-04-24 00:00:00";68;48;"0";2798;4650;5335;3957;16740
"204";"2016-04-25 00:00:00";"2016-04-25 00:00:00";66,9;54;"0";3463;5978;6845;4564;20850
"205";"2016-04-26 00:00:00";"2016-04-26 00:00:00";60,1;46,9;"0.24";1997;3520;4559;2929;13005
"206";"2016-04-27 00:00:00";"2016-04-27 00:00:00";62,1;46,9;"0";3343;5606;6577;4388;19914
"207";"2016-04-28 00:00:00";"2016-04-28 00:00:00";57,9;48;"0";2486;4152;5336;3657;15631
"208";"2016-04-29 00:00:00";"2016-04-29 00:00:00";57;46,9;"0.05";2375;4178;5053;3348;14954
"209";"2016-04-30 00:00:00";"2016-04-30 00:00:00";64;48;"0";3199;4952;5675;3606;17432
